id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by
1568134,2026-02-27 16:32:34 -0800,2026-02-28 05:39:55 -0800,en-US,thunderbird-android,Wie kan ich in Thunderbird einen Übersetzer integrieren.,false,,,false,1802858,1802858;,languages,thunderbird-android;languages;,miworei,"<p>Ich möchte e-Mails ins Deutsch übersetzen, die z.B in Englisch ankommen. </p>",miworei;platform34;,false,false,false,";useragent:Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",1,0,0,,,
1568157,2026-02-27 19:00:13 -0800,2026-03-18 18:19:52 -0700,en-US,thunderbird-android,"Tunderbird lässt sich nicht als Standard-App für E-Mail einstellen. -- I want to get Thunderbird as standard app, but it does'nt work.",true,1806083,Samuel,false,1806083,1802857;1802961;1803734;1805821;1806083;,customization,thunderbird-android;customization;,Samuel,"<p>Ich habe Thunderbird als Standard-App für E-Mail eingestellt und Gmail dafür abgewählt. Doch wenn ich einen E-Mail-Link klicke, sprich tippe, gibt es entweder gar keine Reaktion oder Gmail will den Link öffnen. ""Rechtsklick"", sprich langes Tippen funktioniert.  --   </p><p>I have toggled thunderbird as standard and gmail off. But either there is no reaction at all, if I click an email link, or gmail wants to open it. </p>",Samuel;platform34;,false,false,false,";solver_id:7443160;tb_version:16.1;os:Android 15;useragent:Mozilla/5.0 (Android 15; Mobile; rv:147.0) Gecko/147.0 Firefox/147.0;kb_visits_prior:[""/en-US/kb/getting-started-thunderbird-android"", ""/en-US/kb/thunderbird-mobile-telemetry"", ""/en-US/kb/configure-push-email-thunderbird-android""]",5,0,0,,,Samuel
1568168,2026-02-27 19:57:21 -0800,2026-02-28 05:51:17 -0800,en-US,thunderbird-android,Anmeldung auf dem Server imap.strato.de mit Benutzernamen .... fehlgeschlagen,false,,,false,1802859,1802859;,send-and-receive-email,thunderbird-android;send-and-receive-email;,haslinger101,"<p>Gestern hat ALLES noch funktioniert und heute erscheint diese Fehlermeldung Ich habe keine Ahnung, was zu tun ist. </p><p>Ich hoffe, dass Ihr mir helfen könnt Dringende E-Mails warten auf Bearbeitung. </p><p>Tausend Dank für Eure Unterstützung </p>",haslinger101;platform34;,false,false,false,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",0,0,0,,,
1568287,2026-02-28 13:36:34 -0800,2026-02-28 13:36:34 -0800,en-US,thunderbird-android,App doesn't work properly after update,false,,,false,,"",send-and-receive-email,android;thunderbird-android;send-and-receive-email;,GrumpyMonkey,"<p>After the recent update, I have duplicated icons for K9. I exported my settings and reinstalled the app, then re-imported my settings. All my email accounts came back. However, only one works the rest fail authentication. I think I can fix that.  However, the one account that does work, downloads every email 3 times. I have some  email that have come down 6 times. How do I stop that.  I have used K9 for years with no problems until now. </p>",GrumpyMonkey;,false,false,false,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36;tb_version:16.1;os:Android",0,0,0,,,
