id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by
1565909,2026-02-15 18:37:16 -0800,2026-02-15 18:37:16 -0800,en-US,thunderbird-android,which one is for my device,false,,,true,,"",installation-and-updates,android;thunderbird-android;installation-and-updates;,sadiqmohammed9020,"<ol><li> Which which app is in good there* Bulleted list item<em><strong><a href=""http://example.com"" rel=""nofollow"">bold text</a></strong></em> </li></ol>",sadiqmohammed9020;,false,false,false,;useragent:Mozilla/5.0 (Android 14; Mobile; rv:147.0) Gecko/147.0 Firefox/147.0;os:Android,0,0,0,,,
1565925,2026-02-15 20:00:05 -0800,2026-02-15 20:00:05 -0800,en-US,thunderbird-android,Galaxy S10 5g,false,,,true,,"",installation-and-updates,android;thunderbird-android;installation-and-updates;,mohammadi.fa.afgh,<p>Samsung S10 5g </p>,mohammadi.fa.afgh;,false,false,false,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36;os:Android;kb_visits_prior:[""/en-US/kb/getting-started-thunderbird-android"", ""/en-US/kb/new-thunderbird-android""]",0,0,0,,,
1565978,2026-02-16 04:40:05 -0800,2026-02-16 11:18:54 -0800,en-US,thunderbird-android,"After installation no emails shown in ""sent"" box although there are in my yahoo sent box",true,1800554,platform34,false,1800554,1800554;,send-and-receive-email,android;thunderbird-android;send-and-receive-email;,Ore1,<p>No emails shown in sent box although there are many. </p>,Ore1;platform34;,false,false,false,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36;os:Android;solver_id:1264217",1,0,0,,,
1566030,2026-02-16 12:54:25 -0800,2026-02-16 13:03:19 -0800,en-US,thunderbird-android,How do I create a new folder in my inbox?,false,,,false,1800582,1800582;,email-and-messaging,android;thunderbird-android;email-and-messaging;,jenshabermann,<p>How do I create a new folder in my inbox? </p>,jenshabermann;platform34;,false,false,false,;useragent:Mozilla/5.0 (Android 13; Mobile; rv:147.0) Gecko/147.0 Firefox/147.0;os:Android,1,0,0,,,
