id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by
1572347,2026-03-23 20:12:27 -0700,2026-03-24 01:39:08 -0700,en-US,thunderbird-android,Zeichenkodierung UTF-8,false,,,false,1807467,1807467;,languages,android;thunderbird-android;languages;,cybercat1,"<p>Einstellung für die Zeichenkodierung auf UTF-8 wird benötigt, da ich E-Mails in französischer Sprache erhalte. </p>",cybercat1;platform34;,false,false,false,;useragent:Mozilla/5.0 (Android 15; Mobile; rv:148.0) Gecko/148.0 Firefox/148.0;tb_version:17.0;os:Android,1,0,0,,,
1572431,2026-03-24 11:47:02 -0700,2026-03-25 21:55:06 -0700,en-US,thunderbird-android,2 email accounts are merged,false,,,false,1807907,1807610;1807707;1807720;1807907;,account-management,android;thunderbird-android;account-management;,nnaugelli,<p>My wife is getting my emails on her Gmail account and she also now has all my contacts. </p>,nnaugelli;platform34;,false,false,false,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36;os:Android",4,0,0,,,
1572478,2026-03-24 16:19:55 -0700,2026-03-24 16:19:55 -0700,en-US,thunderbird-android,Client cannot see any IMAP folders other than .INBOX,false,,,false,,"",email-and-messaging,thunderbird-android;email-and-messaging;,mcs_firefox,"<p>I'm running Thunderbird at the desktop on various Linux and Windows boxes. These instances, along with other interfaces like RoundCube and the like can use my IMAP server to access all the folders in any given email account, move mails between them, add/remove/edit folders etc. </p><p>Thunderbird for Android can't even see them, not even the standard sent/trash/etc. options - only .INBOX. I have all the folders in my <em>subscriptions</em> file but nothing shows when I query the folder list from the client (""Manage Folders"") and in any case I have unchecked ""only list subscribed folders"" in the settings for my account. </p><p>Any idea what I need to do to get at folders in this instance, because this setup is rendering the client semi-useless for me? </p>",mcs_firefox;,false,false,false,";useragent:Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36;tb_version:16.1;os:Android 16",0,0,1,,,
