id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by
1564679,2026-02-08 19:02:30 -0800,2026-02-12 06:09:13 -0800,en-US,thunderbird-android,Unsubscribe from email,false,,,false,1799629,1799077;1799629;,send-and-receive-email,android;thunderbird-android;send-and-receive-email;,usa895245,"<p>Hello, I just moved from gmail and I was wondering if Thunderbird has a option to unsubscribe from emails or manage subscriptions like in gmail. </p>",usa895245;platform34;,false,false,false,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36;os:Android",2,0,0,,,
1564740,2026-02-09 03:19:23 -0800,2026-02-09 12:47:51 -0800,en-US,thunderbird-android,Send button in Thunderbird for Android,true,1799054,platform34,false,1799054,1799054;,send-and-receive-email,thunderbird-android;send-and-receive-email;,nolliver,"<p>I have used Thunderbird on my desktop PC for many years, and have now installed it on a Lenovo tablet running Android.  The setting up was simple (thank you), and I am receiving emails with no problem.  I have tried sending emails and they are simple to type up, but there is no visible ""Send"" button.  I have accidentally sent an email successfully, but have no idea of how this came about.  Please help me to send emails, as I am very keen to use the tablet fully.  Many thanks, Nigel Olliver. </p>",nolliver;platform34;,false,false,false,;useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0;solver_id:7398264,1,0,0,,,
1564787,2026-02-09 10:57:34 -0800,2026-02-09 20:04:50 -0800,en-US,thunderbird-android,Authentication errors in setup,false,,,false,1799053,1799053;,passwords-and-sign-in,android;thunderbird-android;passwords-and-sign-in;,daisysmom,"<p>Trying to set up thunderbird for android. I use yahoo mail for my ATT accounts.  I get the following message when trying to set up Thunderbird for the first time, ""incoming server settings failed. Authentication error. LOG IN invalid credentials""  I updated my email password and still have the same problem. I do not have thunderbird on a desktop or laptop, or anywhere for that matter. It accesses my gmail accounts just fine. Please advise. </p>",daisysmom;platform34;,false,false,false,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36;os:Android;kb_visits_prior:[""/en-US/kb/getting-started-thunderbird-android""]",1,0,0,,,
1564813,2026-02-09 14:10:03 -0800,2026-02-11 17:43:01 -0800,en-US,thunderbird-android,inbox folder,true,1799075,platform34,false,1799526,1799075;1799526;,email-and-messaging,android;thunderbird-android;email-and-messaging;,jiri9691,"<p>I have just installed Thunderbird on my Android phone and using my desktop Thunderbird exported my email address to the Thunderbird mobile. This worked OK.  Just  for the record,  this is  my first time with Android version of the Thunderbird, and I can't find the inbox folder. Could you please guide me how to do it? Many thanks. </p>",jiri9691;platform34;,false,false,false,;useragent:Mozilla/5.0 (Android 15; Mobile; rv:147.0) Gecko/147.0 Firefox/147.0;os:Android;solver_id:4944646,2,0,0,,,
1564819,2026-02-09 14:33:09 -0800,2026-02-11 14:59:29 -0800,en-US,thunderbird-android,Message list not updating after moving message to another folder in Thunderbird Android 16.0,true,1799481,binki,false,1799481,1799072;1799481;,crashing-and-slow-performance,thunderbird-android;crashing-and-slow-performance;,binki,"<p>When I first open K9Mail 16.0 or after scrolling to the top of the message list, the message does not disappear from the list after I open a message, select move, and choose a folder. The message will no longer be clickable after I do this. However, it will remain displaying in the list until I start scrolling the message list, at which point the list updates and removes the moved message. </p><p>Please fix this bug. </p><p>Thanks. </p>",binki;platform34;,false,false,false,;useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:148.0) Gecko/20100101 Firefox/148.0;solver_id:1395251,2,0,0,,,
