id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by
1575642,2026-04-10 04:05:22 -0700,2026-04-10 07:37:07 -0700,en-US,thunderbird-android,Δεν βλέπω τα εισερχόμενα και τα εξερχομενα,false,,,false,1811052,1811052;,send-and-receive-email,android;thunderbird-android;send-and-receive-email;,ntoubas,<p>Δεν βλέπω τα μηνύματα μου σε κανένα φάκελο. ούτε στα εισερχόμενα ούτε τα αποσταλεντα </p>,ntoubas;norhorn;,false,false,false,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36;tb_version:17,0;os:Android;kb_visits_prior:[""/el/kb/eisagwgh-ry8misewn-dedomenwn-thunderbird-android""]",1,0,0,,,
1575652,2026-04-10 06:01:50 -0700,2026-04-10 06:01:50 -0700,en-US,thunderbird-android,create new folders in Thunderbird,false,,,false,,"",email-and-messaging,thunderbird-android;email-and-messaging;,nleighton,"<p>I have just reinstalled T/B (3-4 times now). Scanned barcode from notebook. Installed ok.  This mobile T/B DOES NOT give me any option to add folders. Only: inbox, outbox, drafts, sent, deleted. I at least want (1) extra folder to store messages. How do I achieve this? Thanks My laptop T/B works well (on Ubuntu) </p>",nleighton;,false,false,false,";useragent:Mozilla/5.0 (Android 16; Mobile; rv:149.0) Gecko/149.0 Firefox/149.0;tb_version:17.0;os:Android.;kb_visits_prior:[""/en-US/kb/getting-started-thunderbird-android""]",0,0,0,,,
1575659,2026-04-10 07:40:53 -0700,2026-04-10 07:40:53 -0700,en-US,thunderbird-android,Cannot connect Gmail account to Thunderbird Mobile,false,,,false,,"",send-and-receive-email,thunderbird-android;send-and-receive-email;,ines.abraham,"<p>I cannot connect my gmail account to Thunderbird for Android (although no problem whatsoever in Thunderbird for Computer). It always fails when Thunderbird tries to connect the SMTP outgoing server. Then it says after a while NETWORK ERROR failed to connect to <a href=""http://smtp.gmail.com"" rel=""nofollow"">smtp.gmail.com</a> .... I am using the standard IMAP configurations. Please help. </p>",ines.abraham;,false,false,false,;useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0;tb_version:17.0;os:Android 16 One UI 8,0,0,0,,,
