id,question_id,created,updated,content,creator,is_spam,num_helpful,num_unhelpful
1798216,1564006,2026-02-04 18:59:17 -0800,2026-02-04 18:59:17 -0800,"<p>Do you have your mailbox sorted by unread messages first? After reading an email in this scenario, it will drop below unread mails, which might look like it's dissapeared depending on how many emails are in the folder. </p>",platform34,false,0,0
1798347,1564107,2026-02-05 17:21:27 -0800,2026-02-05 17:40:34 -0800,"<p>Thunderbird for android only supports selecting email addresses from your contacts app. It doesn't have a built-in feature for storing and managing email address lists. </p><p>To pick a contact's email. </p><p>1. Grant Thunderbird permission to read your contacts. Long press the app's launcher icon &gt; app info &gt; permissions. 2. On the message compose window, tap the 3 dot menu &gt; add from contacts. </p><p>Only contacts with an email address will be displayed. </p><p>You may have some ideas and suggestions on how this could be improved. You're welcome to raise these on Mozilla connect where the community can vote for them. <a href=""https://connect.mozilla.org/t5/ideas/idb-p/ideas/label-name/thunderbird%20android"" rel=""nofollow"">https://connect.mozilla.org/t5/ideas/idb-p/ideas/label-name/thunderbird%20android</a> </p><p>The exisiting idea linked below may be of interest. <a href=""https://connect.mozilla.org/t5/ideas/an-address-book-in-thunderbird-for-android/idi-p/84952"" rel=""nofollow"">https://connect.mozilla.org/t5/ideas/an-address-book-in-thunderbird-for-android/idi-p/84952</a> </p>",platform34,false,1,0
1798449,1564107,2026-02-06 10:01:14 -0800,2026-02-06 10:01:14 -0800,<p>@Platform34 - thanks for the full reply. Disappointing but now I will stop bashing my head against a wall trying to do something that isn't possible. And thanks for the links - I have voted and commented on the second one. Alan </p>,Alan.online,false,0,0
