id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by
1572205,2026-03-22 20:45:16 -0700,2026-03-23 01:22:06 -0700,en-US,thunderbird-android,"how to turn on and off, Thunderbird, email notifications",false,,,false,1807307,1807307;,customization,android;thunderbird-android;customization;,woodyber,"<p><strong>bold text</strong> how to turn the notification sound, on and off. </p>",woodyber;platform34;,false,false,false,;useragent:Mozilla/5.0 (Android 10; Mobile; rv:148.0) Gecko/148.0 Firefox/148.0;os:Android,1,0,0,,,
1572272,2026-03-23 11:02:06 -0700,2026-03-27 08:59:41 -0700,en-US,thunderbird-android,"my thunderbird android app gives me the error ""unable to parse tls packet header"" when trying to manually configurate my email",true,1807607,platform34,false,1808231,1807607;1808231;,encryption,thunderbird-android;encryption;,stefan.brandstaetter,"<p>I installed thunderbird on my new Samsung A26. I tried to configure the imap connection for my email - provider is <a href=""http://liwest.at"" rel=""nofollow"">liwest.at</a> - per their settings. the incoming mail check worked. but the outgoing mail check gives back the error ""unable to parse tls packet header"" I checked username and password multiple times and tried all versions of password authentication possibilities.  </p><p>I googled the error but the only thing I could find was a possible mismatch in tls versions. I asked my provider about it - their customer service could not confirm with their technicians what version is in use but according to their documentation it should be tls 1.2 </p>",stefan.brandstaetter;platform34;,false,false,false,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:148.0) Gecko/20100101 Firefox/148.0;tb_version:16.1;os:One UI 8.0, Android 16;solver_id:7496257",2,0,0,,,
1572310,2026-03-23 16:36:10 -0700,2026-03-23 23:09:18 -0700,en-US,thunderbird-android,What does synch all accounts mean?,true,1807470,platform34,false,1807470,1807470;,account-management,android;thunderbird-android;account-management;,craiglock,<p>My acconts on androad  Thanks </p>,craiglock;platform34;,false,false,false,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36;os:Android;solver_id:4017887",1,0,0,,,
