id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by
1558495,2026-01-04 19:15:23 -0800,2026-01-04 19:15:23 -0800,en-US,thunderbird-android,0990641074,false,,,true,,"",search-tag-and-share,android;thunderbird-android;search-tag-and-share;,lhtetwai007,<p>message </p>,lhtetwai007;,false,false,false,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36;os:Android",0,0,0,,,
1558528,2026-01-04 23:07:41 -0800,2026-01-11 03:08:37 -0800,en-US,thunderbird-android,Can't set Move as option,false,,,false,1793050,1791591;1791609;1791611;1791612;1791617;1791620;1791626;1791645;1791718;1791827;1791855;1791961;1792001;1792982;1793050;,customization,thunderbird-android;customization;,Tombarkas,"<p>Supposedly I can set Move as an option in Display/Visible message actions or in Interaction/Swipe. I CAN set these options, but it makes no difference. </p>",Tombarkas;platform34;pyouss56;,false,false,false,";useragent:Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.3650.112",15,0,0,,,
1558622,2026-01-05 08:50:06 -0800,2026-01-05 11:29:06 -0800,en-US,thunderbird-android,Thunderbird on my Android phone doesn't seem to be working.,true,1791599,platform34,false,1791622,1791599;1791602;1791622;,send-and-receive-email,android;thunderbird-android;send-and-receive-email;,pebbleridge13,"<p>Hi, I have been using Thunderbird on my Windows PC for many years. I installed Thunderbird on my Android phone recently but it doesn't work, no emails are seen, and it doesn't seem to collect new ones either. What steps do I need to take to fix it? Regards, Paul </p>",pebbleridge13;platform34;,false,false,false,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 OPR/125.0.0.0;os:Android;solver_id:5744185",3,0,0,,,
1558641,2026-01-05 10:33:21 -0800,2026-01-05 11:29:20 -0800,en-US,thunderbird-android,Accessing Gmail,true,1791623,platform34,false,1791623,1791623;,send-and-receive-email,android;thunderbird-android;send-and-receive-email;,jimflora,<p>Oauth 2.0 not suppered </p>,jimflora;platform34;,false,false,false,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36;os:Android;kb_visits_prior:[""/en-US/kb/gmail-thunderbird-android""];solver_id:1931590",1,0,0,,,
