id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by
1555995,2025-12-19 18:38:43 -0800,2025-12-19 18:45:42 -0800,en-US,thunderbird-android,How to sync android and computer messaging and to display sent messages on android.,false,,,false,,"",email-and-messaging,thunderbird-android;email-and-messaging;,manorhouse,"<p><i>duplicate of <a href=""/questions/1555996"" rel=""nofollow"">/questions/1555996</a> thread</i> </p><p>Just purchased and set up Thunderbird on new Samsung Galaxy S25 phone. Message inbox works but Sent, trash, and no other message box displays. How to correct and set up. Also how do you sync android Thunderbird phone app. w computer Thunderbird program. When I delete an inbox message on phone it is not deleted on  computer Thunderbird program  and vice versa . Computer is new build running Windows 11. Thanks for assistance.  Techs at Verizon were unable to help. </p>",manorhouse;,false,true,false,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36;kb_visits_prior:[""/en-US/kb/thunderbird-android-8-faq""];os:Android & Windows 11",0,0,0,,,James
1555996,2025-12-19 18:39:09 -0800,2025-12-20 01:22:51 -0800,en-US,thunderbird-android,How to sync android and computer messaging and to display sent messages on android.,false,,,false,1787506,1787496;1787506;,send-and-receive-email,android;thunderbird-android;send-and-receive-email;needsinfo;,manorhouse,"<p>Just purchased and set up Thunderbird on new Samsung Galaxy S25 phone. Message inbox works but Sent, trash, and no other message box displays. How to correct and set up. Also how do you sync android Thunderbird phone app. w computer Thunderbird program. When I delete an inbox message on phone it is not deleted on  computer Thunderbird program  and vice versa . Computer is new build running Windows 11. Thanks for assistance.  Techs at Verizon were unable to help. </p>",manorhouse;platform34;,false,false,false,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36;os:Android;kb_visits_prior:[""/en-US/kb/thunderbird-android-8-faq""]",2,0,0,,,
1556019,2025-12-19 21:55:06 -0800,2025-12-19 22:32:34 -0800,en-US,thunderbird-android,Microsoft365 account,true,1787489,platform34,false,1787489,1787489;,email-and-messaging,thunderbird-android;email-and-messaging;,moffatkatopola,<p>I have problems configuring my shool email account Microsoft 365/Exchange method.  </p><p>[edited email from public support forum] @byupathway.edu </p>,moffatkatopola;platform34;,false,false,false,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36;solver_id:7274572",1,0,0,,,James
1556156,2025-12-20 13:57:33 -0800,2025-12-26 07:33:53 -0800,en-US,thunderbird-android,Android Thunderbird,false,,,false,1789122,1787643;1787762;1787908;1787932;1788176;1788391;1788815;1789122;,install,thunderbird-android;install;,wired1,"<p>Android Thunderbird won't work on my Samsung S24+ or my Samsung SM-X700,.  Says you aren't compatable&nbsp;???  I am a Donor&nbsp;! </p>",wired1;MattAuSupport;platform34;,false,false,false,;useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0,8,0,0,,,
