id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by
1486658,2025-01-17 03:34:51 -0800,2025-01-17 03:34:51 -0800,en-US,thunderbird-android,Thunderbird Add-Ons,false,,,false,,"",settings,android;thunderbird-android;settings;,tardis1,"<p>Hello, </p><p>Thanks for bringing Thunderbird for Android. </p><p>We have developed a Thunderbird AddOn, which works successfully on Windows, Linux and Mac Thunderbird Desktop programs. It would be wonderful to be able to use it on Android as well. I haven't seen any possibility to install an AddOn from a file (or from <a href=""https://addons.thunderbird.net/"" rel=""nofollow"">https://addons.thunderbird.net/</a>). Am I missing something or is this not yet possible&nbsp;? This seems possible with Firefox for Android, at least from the store and for some addons (<a href=""https://support.mozilla.org/en-US/questions/1431645"" rel=""nofollow"">https://support.mozilla.org/en-US/questions/1431645</a>). </p><p>Also, it looks like HTML signatures aren't usable as they are in the Desktop program. This would be a nice addition, and probably less complicated. </p><p>Thanks in advance for your help. </p>",tardis1;,true,false,false,;os:Android;useragent:Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0,0,0,0,,,
1486757,2025-01-17 11:25:04 -0800,2025-01-17 11:25:04 -0800,en-US,thunderbird-android,Unified inbox not showing all emails on Android,false,,,false,,"",send-and-receive-email,thunderbird-android;send-and-receive-email;,spartanhooah,"<p>On Android, I currently have two emails in my Gmail inbox that aren't showing up in the unified inbox. This isn't consistent - most emails go to the unified inbox, but not all. I haven't been able to figure out a pattern. </p>",spartanhooah;,true,false,false,;useragent:Mozilla/5.0 (Android 15; Mobile; rv:134.0) Gecko/134.0 Firefox/134.0;os:Android 15,0,0,0,,,
1486783,2025-01-17 14:03:51 -0800,2025-01-17 14:03:51 -0800,en-US,thunderbird-android,installation of thunderbird on Samsung Galaxy S24 phone,false,,,false,,"",import-and-export-email,thunderbird-android;import-and-export-email;,pel1,<p>After export of thunderbird from desktop to Android Phone I get no access to inbox </p>,pel1;,true,false,false,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/27.0 Chrome/125.0.0.0 Mobile Safari/537.36",0,0,0,,,
