id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by
1499052,2025-03-13 02:59:35 -0700,2025-03-13 02:59:35 -0700,en-US,thunderbird-android,Sent messages,false,,,false,,"",send-and-receive-email,thunderbird-android;send-and-receive-email;,philippe.poullin50,"<p>Hello, I've been using the Android version of Thunderbird for a few days. I haven't found the sent messages folder. Could you tell me how I can view them? Thanks. Kind regards. </p>",philippe.poullin50;,true,false,false,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0;kb_visits_prior:[""/fr/kb/thunderbird-android-8-faq""]",0,0,0,,,
1499103,2025-03-13 07:33:58 -0700,2025-03-13 07:33:58 -0700,en-US,thunderbird-android,Thunderbird v. K9,false,,,false,,"",undefined,undefined;android;thunderbird-android;,iceguy,<p>Is TBird ever going to be more than a dog with feathers? </p>,iceguy;,true,false,false,";useragent:Mozilla/5.0 (Android 15; Mobile; rv:136.0) Gecko/136.0 Firefox/136.0;os:Android;kb_visits_prior:[""/en-US/kb/new-thunderbird-android-version-8"", ""/en-US/kb/thunderbird-android-8-faq""]",0,0,0,,,
1499131,2025-03-13 10:12:38 -0700,2025-03-14 08:55:33 -0700,en-US,thunderbird-android,swipe options not working on emails on android,false,,,false,1718171,1718118;1718130;1718138;1718171;,customization,thunderbird-android;customization;,ferensica,<p>Hi Have used thunderbird on pc for years no probs. Just downloaded TB to android 14 and swipe options don't work except for delete. How can I get the other options to work? Thanks </p>,ferensica;Yu5tiqX9og;,true,false,false,;useragent:Mozilla/5.0 (Android 14; Mobile; rv:136.0) Gecko/136.0 Firefox/136.0,4,0,2,,,
1499154,2025-03-13 11:37:58 -0700,2025-03-13 11:37:58 -0700,en-US,thunderbird-android,Can't find printer,false,,,true,,"",search-tag-and-share,thunderbird-android;search-tag-and-share;,Xanthus,"<p>I bought a new android tablet, installed TB v 8.2 and can't see a printer in the app.  ""Share"" doesn't offer print option.  I can print from Chrome.  uninstalled and reinstalled - no joy </p>",Xanthus;,true,false,false,;useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0,0,0,0,,,
