id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by
1508744,2025-04-29 06:47:45 -0700,2025-05-15 03:38:39 -0700,cs,thunderbird-android,Thunbird for Android  sent,false,,,false,1732985,1732985;,accessibility,seg-not-firefox;thunderbird-android;accessibility;,Matěj,"<p>I don't have the same messages in the sent folder for Thunbird Android and for PC even though I have IMAP settings </p><p>Clarification: I send an email from Thunderbird Android, it appears in the sent folder both on PC and Android. I send an email in Thunderbird PC, it appears in the sent item only on PC, not on Android </p>",Matěj;,true,false,false,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Mobile Safari/537.36",1,0,0,,,Matěj
1508764,2025-04-29 07:52:26 -0700,2025-04-29 22:21:10 -0700,en-US,thunderbird-android,Settings,false,,,false,1729119,1729119;,send-and-receive-email,android;thunderbird-android;send-and-receive-email;,kite005,<p>Is there a setting in Thunderbird to automatically download Gmail emails to Thunderbird instead of having to swipe to get them to populate. </p>,kite005;Yu5tiqX9og;,true,false,false,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36;os:Android",1,0,0,,,
1508766,2025-04-29 08:00:25 -0700,2025-04-29 08:00:25 -0700,en-US,thunderbird-android,Thunderbird on Android missing message replies (gmail),false,,,false,,"",send-and-receive-email,send-and-receive-email;android;thunderbird-android;,tom.shell,"<p>Folks, my inbox views do not show replies to messages. I use Gmail.  When i look in All Mail, I see all the replies in a conversation view. In the inbox, however, I only see the messages from the initial sender.  </p><p>What gives? </p>",tom.shell;,true,false,false,;useragent:Mozilla/5.0 (Android 14; Mobile; rv:137.0) Gecko/137.0 Firefox/137.0;os:Android,0,0,0,,,
1508779,2025-04-29 08:34:51 -0700,2025-04-29 08:34:51 -0700,en-US,thunderbird-android,Android Thunderbird does not show sub folders anymore,false,,,false,,"",email-and-messaging,firefox-1360;android;thunderbird-android;email-and-messaging;,mail820,<p>Please bring back the feature to show sub folders. Since my last update the sub folders are not supported anymore. It is a very important feature. </p>,mail820;,true,false,false,;useragent:Mozilla/5.0 (Android 13; Mobile; rv:136.0) Gecko/136.0 Firefox/136.0;ff_version:136.0;os:Android,0,0,0,,,
1508851,2025-04-29 14:10:14 -0700,2025-04-29 14:10:14 -0700,en-US,thunderbird-android,Tagging,false,,,false,,"",tags,thunderbird-android;tags;,ichbindannmalwegmann,"<p>Hi, </p><p>Is - and if how is - it possible to tag a message in Thunderbird Android. </p><p>Best, </p><p>Roger </p>",ichbindannmalwegmann;,true,false,false,;useragent:Mozilla/5.0 (X11; Linux x86_64; rv:137.0) Gecko/20100101 Firefox/137.0,0,0,0,,,
