id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by
1550049,2025-11-23 04:35:38 -0800,2025-11-23 04:35:38 -0800,nl,thunderbird-android,Thunderbird Mobiel voor Android.,false,,,false,,"",import-and-export-email,firefox-1440;android;thunderbird-android;import-and-export-email;,altijdvrij17,"<p>Hallo, </p><p>Waar komen of staan Mijn Mappen in Thunderbird Mobiel voor Android? </p><p>Is het mogelijk om deze mappen lokaal op smartphone of tablet te zetten? Dit voor archivering van de mail. </p><p>Bedankt, AV </p>",altijdvrij17;,false,false,false,;useragent:Mozilla/5.0 (Android 13; Mobile; rv:144.0) Gecko/144.0 Firefox/144.0;ff_version:144.0;os:Android,0,0,0,,,
1550079,2025-11-23 07:26:27 -0800,2025-11-23 07:26:27 -0800,en-US,thunderbird-android,local mail folder on amdrpif,false,,,false,,"",import-and-export-email,firefox-1450;android;thunderbird-android;import-and-export-email;,john608,"<p>I have been a Thunderbird user for many years both on Windows and Linux. Both gives me the option to copy mails to local folder on the pc. Thus I avoid having old mails stored on an external mail server. Will this option be available on android? Best Regards, John Kjersgaard </p>",john608;,false,false,false,;useragent:Mozilla/5.0 (Android 16; Mobile; rv:145.0) Gecko/145.0 Firefox/145.0;ff_version:145.0;os:Android,0,0,0,,,
1550152,2025-11-23 14:09:45 -0800,2025-11-24 06:09:47 -0800,en-US,thunderbird-android,Printing of Mails,false,,,false,1781655,1781655;,email-and-messaging,android;thunderbird-android;email-and-messaging;,pliopt.tt,<p>How can I print a mail in Thunderbird for Android? I couldn't find a direct way and no option via share. Many thanks. </p>,pliopt.tt;platform34;,false,false,false,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36 EdgA/142.0.0.0;os:Android",1,1,2,,,
