id,question_id,created,updated,content,creator,is_spam,num_helpful,num_unhelpful
1784785,1553363,2025-12-09 01:37:32 -0800,2025-12-09 01:37:32 -0800,"<p>Recommend double checking ""upload sent messages"" is ticked under account &gt; sending mail Do you have the send folder assigned under account &gt; manage folders? </p>",platform34,false,2,0
1784820,1553363,2025-12-09 07:34:29 -0800,2025-12-09 07:34:29 -0800,"<p>Hi, the ""upload sent messages"" box is ticked; and the ""sent"" folder appears under account-manage folder. What can I try?.... Thanks </p>",raymondrancourt,false,0,0
1791002,1553363,2026-01-02 22:03:05 -0800,2026-01-02 22:03:05 -0800,"<em><p>raymondrancourt <a href=""#answer-1784820"" rel=""nofollow"">said</a></p></em> <blockquote>Hi, the ""upload sent messages"" box is ticked; and the ""sent"" folder appears under account-manage folder. What can I try?.... Thanks </blockquote> <p><br> raymondrancourt, are you still seeing this issue? </p>",wsmwk,false,0,0
1791169,1553363,2026-01-03 17:25:36 -0800,2026-01-03 17:25:36 -0800,<p>thank you. The issue is fixed. </p>,raymondrancourt,false,0,0
1784788,1553403,2025-12-09 01:46:21 -0800,2025-12-09 01:46:21 -0800,"<p>No, Thunderbird for Android doesn't currently support this. </p><p>Your welcome to promote the suggestion on <a href=""https://connect.mozilla.org/t5/ideas/idb-p/ideas/label-name/thunderbird%20android"" rel=""nofollow"">Mozilla connect</a> where the community can up-vote it. </p>",platform34,false,0,0
