id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by
1494759,2025-02-20 22:44:29 -0800,2025-02-21 18:56:39 -0800,en-US,thunderbird-android,[Feature Request] Only displayed embedded images not sent,false,,,false,,"",send-and-receive-email,thunderbird-android;send-and-receive-email;,osfischer,"<p>If is possibly to send the embedded images in the html quote answer from a email? </p><p>I think not, can Mozilla make this possibility? </p>",osfischer;,true,false,false,;useragent:Mozilla/5.0 (Android 14; Mobile; rv:135.0) Gecko/135.0 Firefox/135.0;os:Android 14,0,0,0,,,osfischer
1494769,2025-02-21 00:05:07 -0800,2025-02-21 05:18:20 -0800,nl,thunderbird-android,Geluidsmelding op Pixel7A met gehoorapparaat,true,1713639,user40646094319352641689555952297744252838,true,1713639,1713597;1713639;,accessibility,thunderbird-android;accessibility;,user40646094319352641689555952297744252838,"<p>Gebruik een Widex SmartRic gehoorapparaat met Moment App op de Pixel 7A telefoon. (Android-versie 15) Heb Google al benaderd maar verwijzen naar Thunderbird. </p><p>Het probleem: Is dat ik geen geluidsmeldingen krijg van de push-berichten op mijn telefoon. Erg vervelend! Alle Settings diverse malen door gelopen maar kom niet verder. Waar kan het aan liggen, toestel of de software? Graag een oplossing. Mvgr. </p>",user40646094319352641689555952297744252838;Mad_Maks;,true,false,false,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0;solver_id:2041068",2,0,0,,,
1494886,2025-02-21 11:30:08 -0800,2025-02-23 09:33:50 -0800,en-US,thunderbird-android,Displaying IMAP folders hierarchically in Thunderbird Mobile,false,,,false,1714043,1713979;1714043;,customization,android;thunderbird-android;customization;,Jonathan_in_London,"<p>Hello </p><p>Having used Maildroid for years, alongside Thunderbird on Linux, Mac and Windows desktops, I'm a recent convert to Thunderbird Mobile, and I'm very impressed. </p><p>However, I have over 5,000 IMAP folders, and the way that Thunderbird Mobile displays them linearly is not usable/accessible.  I remember trying K-9 years ago and rejecting it for the same reason. </p><p>Is there anywhere I can up-vote some effort to adding hierarchical folders, with expand/collapse, bringing TM in line with Thunderbird Desktop? </p><p>Unfortunately I don't have the coding skills to volunteer on this. </p><p>Thanks Jonathan. </p>",Jonathan_in_London;Yu5tiqX9og;,true,false,false,;useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0;os:Android,2,0,3,,,
