id,question_id,created,updated,content,creator,is_spam,num_helpful,num_unhelpful
1765031,1536234,2025-09-17 05:48:36 -0700,2025-09-17 05:48:36 -0700,<p><strong>To be a bit more precise</strong>: </p><p>TB Android version 11.1 works as intended and expected </p><p>TB beta 13B1 does not work </p><p>K9Mail version 12.1 doesn't work </p><p>And now I see that TB Android has been released in a version 12.1 - probably based on the K9Mail code as I read the release message. </p><p>What can I do in order to get folders work load and show me mails correctly? </p><p>|&lt; </p>,klaus79,false,0,0
1767705,1536234,2025-09-26 08:57:42 -0700,2025-09-26 08:57:42 -0700,<p>&gt; TB beta 13B1 does not work </p><p>I believe this is expected to be fixed in version 13 in the coming days. </p>,wsmwk,false,0,0
